status,screen,row,click_x,click_y,chars,hash,title,docx_file,txt_file,error
OK,1,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,يقول الدكتور رؤوف عبيد :  يأخذ بنظام انقضاء الدعوى العمومية بمضي المدة أغلب الشرائع المعاصرة بما مقت,C:\EladalahExport\docs_full\s0001-r01-76cc2df2a5-يقول الدكتور رؤوف عبيد يأخذ بنظام انقضاء الدعوى العمومية بمضي المدة أغلب الشرائع.docx,C:\EladalahExport\txt_full\s0001-r01-76cc2df2a5-يقول الدكتور رؤوف عبيد يأخذ بنظام انقضاء الدعوى العمومية بمضي المدة أغلب الشرائع.txt,
OK,1,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,الدفع بالتقادم كطريق للحصول علي الحكم  بالبراءة :,C:\EladalahExport\docs_full\s0001-r02-afb5218dbe-الدفع بالتقادم كطريق للحصول علي الحكم بالبراءة.docx,C:\EladalahExport\txt_full\s0001-r02-afb5218dbe-الدفع بالتقادم كطريق للحصول علي الحكم بالبراءة.txt,
OK,1,3,1530,324,776,2580cf59627f9d05191bf74d4bf774b1,ما هي الصياغة الصحيحة للدفع : تقادم الدعوى الجنائية أم سقوط الدعوى الجنائية …؟,C:\EladalahExport\docs_full\s0001-r03-2580cf5962-ما هي الصياغة الصحيحة للدفع تقادم الدعوى الجنائية أم سقوط الدعوى الجنائية …؟.docx,C:\EladalahExport\txt_full\s0001-r03-2580cf5962-ما هي الصياغة الصحيحة للدفع تقادم الدعوى الجنائية أم سقوط الدعوى الجنائية …؟.txt,
OK,1,4,1530,352,1689,82f8bcaf2dffb1bbd068dd9fa2b3ef00,كيف يكون انقضاء الدعوى الجنائية بمضي المدة  سبباً عارضاً للانقضاء …؟,C:\EladalahExport\docs_full\s0001-r04-82f8bcaf2d-كيف يكون انقضاء الدعوى الجنائية بمضي المدة سبباً عارضاً للانقضاء …؟.docx,C:\EladalahExport\txt_full\s0001-r04-82f8bcaf2d-كيف يكون انقضاء الدعوى الجنائية بمضي المدة سبباً عارضاً للانقضاء …؟.txt,
OK,1,5,1530,380,1517,a21f73f66cd8a1c09824d5f36cd6dcad,الأساس القانوني لتقادم الدعوى الجنائية بمضي المدة :,C:\EladalahExport\docs_full\s0001-r05-a21f73f66c-الأساس القانوني لتقادم الدعوى الجنائية بمضي المدة.docx,C:\EladalahExport\txt_full\s0001-r05-a21f73f66c-الأساس القانوني لتقادم الدعوى الجنائية بمضي المدة.txt,
OK,1,6,1530,408,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,ما هي الجرائم التي لا تخضـع لنظـام تقـادم الدعوى الجنائية بمضي المدة …؟,C:\EladalahExport\docs_full\s0001-r06-6b5cb9a367-ما هي الجرائم التي لا تخضـع لنظـام تقـادم الدعوى الجنائية بمضي المدة …؟.docx,C:\EladalahExport\txt_full\s0001-r06-6b5cb9a367-ما هي الجرائم التي لا تخضـع لنظـام تقـادم الدعوى الجنائية بمضي المدة …؟.txt,
DUPLICATE,1,7,1530,436,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
OK,1,8,1530,464,669,9b261582dfa056a2a30ae33835f0d60a,ما هي شروط صحة القول بانقضاء الدعوى الجنائية بالتقادم ...؟,C:\EladalahExport\docs_full\s0001-r08-9b261582df-ما هي شروط صحة القول بانقضاء الدعوى الجنائية بالتقادم ...؟.docx,C:\EladalahExport\txt_full\s0001-r08-9b261582df-ما هي شروط صحة القول بانقضاء الدعوى الجنائية بالتقادم ...؟.txt,
OK,1,9,1530,492,4094,0853447bfafd91d23f7a4c91db3bb3a2,ما هي المدة اللازمة للتقادم في مختلف أنواع الجرائم  ..؟,C:\EladalahExport\docs_full\s0001-r09-0853447bfa-ما هي المدة اللازمة للتقادم في مختلف أنواع الجرائم ..؟.docx,C:\EladalahExport\txt_full\s0001-r09-0853447bfa-ما هي المدة اللازمة للتقادم في مختلف أنواع الجرائم ..؟.txt,
DUPLICATE,1,10,1530,520,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
OK,1,11,1530,548,4094,8920bb532bfbda6c8eeb3d9f3cec5017,كيف نحدد تاريخ وقوع الجريمة كأساس للدفع بالتقادم ومشكلاته الهامة ...؟,C:\EladalahExport\docs_full\s0001-r11-8920bb532b-كيف نحدد تاريخ وقوع الجريمة كأساس للدفع بالتقادم ومشكلاته الهامة ...؟.docx,C:\EladalahExport\txt_full\s0001-r11-8920bb532b-كيف نحدد تاريخ وقوع الجريمة كأساس للدفع بالتقادم ومشكلاته الهامة ...؟.txt,
OK,1,12,1530,576,4095,55aec5133272a67f334d704f78f7d227,خطأ محكمة الموضوع في تحديد وقت وقوع الجريمة كأساس للرد علي الدفع بالتقادم .,C:\EladalahExport\docs_full\s0001-r12-55aec51332-خطأ محكمة الموضوع في تحديد وقت وقوع الجريمة كأساس للرد علي الدفع بالتقادم ..docx,C:\EladalahExport\txt_full\s0001-r12-55aec51332-خطأ محكمة الموضوع في تحديد وقت وقوع الجريمة كأساس للرد علي الدفع بالتقادم ..txt,
OK,1,13,1530,604,4093,4317923aaba8459e1ecc7a2a4aed647f,التكييف القانوني  للجريمة وأثره علي تحديد مدة التقادم :,C:\EladalahExport\docs_full\s0001-r13-4317923aab-التكييف القانوني للجريمة وأثره علي تحديد مدة التقادم.docx,C:\EladalahExport\txt_full\s0001-r13-4317923aab-التكييف القانوني للجريمة وأثره علي تحديد مدة التقادم.txt,
OK,1,14,1530,632,3317,27f2897f30862293cf3cda93d238d2c6,الظروف القضائية المخففة وأثرها علاقتها بالتقادم :,C:\EladalahExport\docs_full\s0001-r14-27f2897f30-الظروف القضائية المخففة وأثرها علاقتها بالتقادم.docx,C:\EladalahExport\txt_full\s0001-r14-27f2897f30-الظروف القضائية المخففة وأثرها علاقتها بالتقادم.txt,
OK,1,15,1530,660,1570,8f2fb46f201a4fe1af537035344f473e,الأعذار المخففة  وأثرها علي العقوبة و علاقتها بالتقادم :,C:\EladalahExport\docs_full\s0001-r15-8f2fb46f20-الأعذار المخففة وأثرها علي العقوبة و علاقتها بالتقادم.docx,C:\EladalahExport\txt_full\s0001-r15-8f2fb46f20-الأعذار المخففة وأثرها علي العقوبة و علاقتها بالتقادم.txt,
OK,1,16,1530,688,1388,8e93867f5b30092f19396dca0d23e76a,الظروف المشددة للعقوبة و أثرها علي المدة اللازمة لتقادم الدعوى الجنائية,C:\EladalahExport\docs_full\s0001-r16-8e93867f5b-الظروف المشددة للعقوبة و أثرها علي المدة اللازمة لتقادم الدعوى الجنائية.docx,C:\EladalahExport\txt_full\s0001-r16-8e93867f5b-الظروف المشددة للعقوبة و أثرها علي المدة اللازمة لتقادم الدعوى الجنائية.txt,
OK,1,17,1530,716,4095,275f5866d717d78ad0d97f1a6af813e3,العود كسبب عام لتشديد العقوبة المحكوم بها وأثر ذلك علي مدة التقادم:,C:\EladalahExport\docs_full\s0001-r17-275f5866d7-العود كسبب عام لتشديد العقوبة المحكوم بها وأثر ذلك علي مدة التقادم.docx,C:\EladalahExport\txt_full\s0001-r17-275f5866d7-العود كسبب عام لتشديد العقوبة المحكوم بها وأثر ذلك علي مدة التقادم.txt,
OK,1,18,1530,744,1515,ffbe50d934397add404d90a9f56723df,نصت المادة 51 من قانون مجلس الدولة على أنه :,C:\EladalahExport\docs_full\s0001-r18-ffbe50d934-نصت المادة 51 من قانون مجلس الدولة على أنه.docx,C:\EladalahExport\txt_full\s0001-r18-ffbe50d934-نصت المادة 51 من قانون مجلس الدولة على أنه.txt,
DUPLICATE,2,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,,,,
DUPLICATE,2,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,,,,
DUPLICATE,2,3,1530,324,776,2580cf59627f9d05191bf74d4bf774b1,,,,
DUPLICATE,2,4,1530,352,1689,82f8bcaf2dffb1bbd068dd9fa2b3ef00,,,,
DUPLICATE,2,5,1530,380,1517,a21f73f66cd8a1c09824d5f36cd6dcad,,,,
DUPLICATE,2,6,1530,408,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,2,7,1530,436,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,2,8,1530,464,669,9b261582dfa056a2a30ae33835f0d60a,,,,
DUPLICATE,2,9,1530,492,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,2,10,1530,520,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,2,11,1530,548,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,12,1530,576,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,13,1530,604,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,14,1530,632,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,15,1530,660,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,16,1530,688,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,17,1530,716,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,2,18,1530,744,1515,ffbe50d934397add404d90a9f56723df,,,,
DUPLICATE,3,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,,,,
DUPLICATE,3,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,,,,
OK,3,3,1530,324,1837,57de6b6647821745c0b5ca3357adf2e8,البدء :,C:\EladalahExport\docs_full\s0003-r03-57de6b6647-البدء.docx,C:\EladalahExport\txt_full\s0003-r03-57de6b6647-البدء.txt,
DUPLICATE,3,4,1530,352,1689,82f8bcaf2dffb1bbd068dd9fa2b3ef00,,,,
DUPLICATE,3,5,1530,380,1517,a21f73f66cd8a1c09824d5f36cd6dcad,,,,
DUPLICATE,3,6,1530,408,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,3,7,1530,436,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,3,8,1530,464,669,9b261582dfa056a2a30ae33835f0d60a,,,,
DUPLICATE,3,9,1530,492,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,3,10,1530,520,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,3,11,1530,548,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,3,12,1530,576,4095,55aec5133272a67f334d704f78f7d227,,,,
DUPLICATE,3,13,1530,604,4093,4317923aaba8459e1ecc7a2a4aed647f,,,,
DUPLICATE,3,14,1530,632,3317,27f2897f30862293cf3cda93d238d2c6,,,,
DUPLICATE,3,15,1530,660,1570,8f2fb46f201a4fe1af537035344f473e,,,,
DUPLICATE,3,16,1530,688,1388,8e93867f5b30092f19396dca0d23e76a,,,,
DUPLICATE,3,17,1530,716,4095,275f5866d717d78ad0d97f1a6af813e3,,,,
DUPLICATE,3,18,1530,744,1515,ffbe50d934397add404d90a9f56723df,,,,
DUPLICATE,4,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,,,,
DUPLICATE,4,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,,,,
SKIP_SHORT,4,3,1530,324,0,,,,,too short
FAILED,4,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
